Empresa,Producto,Precio,Unidades,Fecha_compra, Fecha_vencimiento
postobon,manzana,222000,12,1123123,12323
cocacola,cuatro,22000,12,20210732,20220523
POSTOBON,MEGA,80000,15,2021-04-28,2022-04-30
cocacola,c350,45000,30,2021-04-08,2022-04-30
cocacola,c350,45000,30,2021-04-08,2022-04-30
nestle,leche flim,200000,20,2021-04-27,2022-02-05
ALPINA,KUMIS250,100000,100,2021-04-28,2021-05-30
,,,100,,
ALPINA,KUMIS250,100000,100,2021-04-28,2021-05-30
ALPINA,LECHE,120000,100,2021-04-28,2021-06-19
,,,35,,
,,,35,,
postobon,mega_manzana,40000,6,20210523,20220528
,,,6,,
